Numeros_Fecha;Numeros_Fecha
43341;29/08/2018
43084;15/12/2017
43513;17/02/2019
43342;30/08/2018
43101;1/01/2018
43328;16/08/2018
43827;28/12/2019
43313;1/08/2018
43446;12/12/2018
42787;21/02/2017
43336;24/08/2018
43312;31/07/2018
43482;17/01/2019
43165;6/03/2018
43554;30/03/2019
43235;15/05/2018
43576;21/04/2019
43490;25/01/2019
42848;23/04/2017
43299;18/07/2018
43048;9/11/2017
43375;2/10/2018
43077;8/12/2017
43315;3/08/2018
43483;18/01/2019
43549;25/03/2019
42592;10/08/2016
43363;20/09/2018
43467;2/01/2019
43339;27/08/2018
43450;16/12/2018
43457;23/12/2018
43553;29/03/2019
43356;13/09/2018
43350;7/09/2018
43398;25/10/2018
43462;28/12/2018
43107;7/01/2018
43279;28/06/2018
43228;8/05/2018
43171;12/03/2018
43258;7/06/2018
43400;27/10/2018
43348;5/09/2018
43478;13/01/2019
43387;14/10/2018
43611;26/05/2019
43259;8/06/2018
43393;20/10/2018
43304;23/07/2018
42745;10/01/2017
43413;9/11/2018
43368;25/09/2018
43360;17/09/2018
42704;30/11/2016
42845;20/04/2017
43407;3/11/2018
43476;11/01/2019
42256;9/09/2015
43461;27/12/2018
42898;12/06/2017
43427;23/11/2018
42756;21/01/2017
43346;3/09/2018
43331;19/08/2018
43639;23/06/2019
43158;27/02/2018
43230;10/05/2018
43197;7/04/2018
43418;14/11/2018
43471;6/01/2019
43447;13/12/2018
43548;24/03/2019
42906;20/06/2017
43390;17/10/2018
43540;16/03/2019
43321;9/08/2018
43152;21/02/2018
43391;18/10/2018
43479;14/01/2019
43454;20/12/2018
43206;16/04/2018
43618;2/06/2019
43154;23/02/2018
43250;30/05/2018
43134;3/02/2018
43385;12/10/2018
43130;30/01/2018
43046;7/11/2017
43531;7/03/2019
43146;15/02/2018
42947;31/07/2017
43344;1/09/2018
43415;11/11/2018
43492;27/01/2019
43455;21/12/2018
43358;15/09/2018
43369;26/09/2018
43052;13/11/2017
43464;30/12/2018
43431;27/11/2018
43141;10/02/2018
43207;17/04/2018
43280;29/06/2018
43371;28/09/2018
43555;31/03/2019
43297;16/07/2018
43329;17/08/2018
43193;3/04/2018
43408;4/11/2018
43547;23/03/2019
43311;30/07/2018
43013;5/10/2017
42730;26/12/2016
43080;11/12/2017
43083;14/12/2017
43019;11/10/2017
42066;3/03/2015
43397;24/10/2018
43161;2/03/2018
43323;11/08/2018
42894;8/06/2017
43291;10/07/2018
43367;24/09/2018
42930;14/07/2017
43373;30/09/2018
43349;6/09/2018
42362;24/12/2015
43351;8/09/2018
43438;4/12/2018
43412;8/11/2018
43394;21/10/2018
42871;16/05/2017
43449;15/12/2018
43320;8/08/2018
43362;19/09/2018
42885;30/05/2017
43243;23/05/2018
43137;6/02/2018
43111;11/01/2018
43334;22/08/2018
43095;26/12/2017
43354;11/09/2018
43423;19/11/2018
43460;26/12/2018
43335;23/08/2018
43139;8/02/2018
43465;31/12/2018
43303;22/07/2018
42803;9/03/2017
43113;13/01/2018
43300;19/07/2018
43203;13/04/2018
42991;13/09/2017
43147;16/02/2018
43382;9/10/2018
43448;14/12/2018
43439;5/12/2018
43444;10/12/2018
43190;31/03/2018
43238;18/05/2018
43222;2/05/2018
43306;25/07/2018
43443;9/12/2018
42847;22/04/2017
43389;16/10/2018
43573;18/04/2019
43174;15/03/2018
43395;22/10/2018
43285;4/07/2018
42811;17/03/2017
43281;30/06/2018
43381;8/10/2018
43491;26/01/2019
43076;7/12/2017
43224;4/05/2018
43126;26/01/2018
43089;20/12/2017
43541;17/03/2019
42458;29/03/2016
43411;7/11/2018
43414;10/11/2018
43305;24/07/2018
43386;13/10/2018
43093;24/12/2017
43144;13/02/2018
43317;5/08/2018
42578;27/07/2016
42733;29/12/2016
43150;19/02/2018
42922;6/07/2017
43424;20/11/2018
43324;12/08/2018
43282;1/07/2018
42656;13/10/2016
43122;22/01/2018
43236;16/05/2018
43284;3/07/2018
43143;12/02/2018
43355;12/09/2018
43426;22/11/2018
43384;11/10/2018
43452;18/12/2018
42920;4/07/2017
43006;28/09/2017
42070;7/03/2015
43292;11/07/2018
43180;21/03/2018
43260;9/06/2018
43318;6/08/2018
43263;12/06/2018
43036;28/10/2017
43215;25/04/2018
42858;3/05/2017
43106;6/01/2018
43131;31/01/2018
42775;9/02/2017
43245;25/05/2018
43105;5/01/2018
43366;23/09/2018
42863;8/05/2017
43133;2/02/2018
43330;18/08/2018
43485;20/01/2019
43283;2/07/2018
42966;19/08/2017
43421;17/11/2018
43167;8/03/2018
42972;25/08/2017
43241;21/05/2018
43117;17/01/2018
43370;27/09/2018
43132;1/02/2018
43828;29/12/2019
42971;24/08/2017
43201;11/04/2018
43388;15/10/2018
42831;6/04/2017
43145;14/02/2018
43463;29/12/2018
43210;20/04/2018
41409;15/05/2013
43468;3/01/2019
42978;31/08/2017
42657;14/10/2016
43433;29/11/2018
42986;8/09/2017
43195;5/04/2018
43359;16/09/2018
43365;22/09/2018
43249;29/05/2018
43278;27/06/2018
43136;5/02/2018
42516;26/05/2016
43157;26/02/2018
43062;23/11/2017
42997;19/09/2017
43242;22/05/2018
43310;29/07/2018
42678;4/11/2016
43534;10/03/2019
43163;4/03/2018
43416;12/11/2018
43140;9/02/2018
43364;21/09/2018
43268;17/06/2018
42886;31/05/2017
43017;9/10/2017
42746;11/01/2017
43166;7/03/2018
42923;7/07/2017
41804;14/06/2014
43200;10/04/2018
42927;11/07/2017
43225;5/05/2018
43295;14/07/2018
41740;11/04/2014
43125;25/01/2018
43437;3/12/2018
42559;8/07/2016
43399;26/10/2018
42928;12/07/2017
43162;3/03/2018
43153;22/02/2018
43574;19/04/2019
43309;28/07/2018
43138;7/02/2018
42628;15/09/2016
43191;1/04/2018
43112;12/01/2018
43327;15/08/2018
42674;31/10/2016
43231;11/05/2018
42989;11/09/2017
42488;28/04/2016
43472;7/01/2019
42752;17/01/2017
42698;24/11/2016
43269;18/06/2018
43173;14/03/2018
43308;27/07/2018
41806;16/06/2014
43118;18/01/2018
43179;20/03/2018
43246;26/05/2018
42979;1/09/2017
43187;28/03/2018
42563;12/07/2016
42781;15/02/2017
43168;9/03/2018
43248;28/05/2018
42370;1/01/2016
43338;26/08/2018
43024;16/10/2017
42870;15/05/2017
42570;19/07/2016
42436;7/03/2016
42859;4/05/2017
43102;2/01/2018
43301;20/07/2018
43091;22/12/2017
43293;12/07/2018
41837;17/07/2014
43353;10/09/2018
43186;27/03/2018
43123;23/01/2018
43428;24/11/2018
42753;18/01/2017
43151;20/02/2018
43316;4/08/2018
43129;29/01/2018
43273;22/06/2018
42701;27/11/2016
43380;7/10/2018
43209;19/04/2018
43082;13/12/2017
43159;28/02/2018
43127;27/01/2018
43075;6/12/2017
42914;28/06/2017
43288;7/07/2018
42426;26/02/2016
42908;22/06/2017
43109;9/01/2018
42910;24/06/2017
42357;19/12/2015
43218;28/04/2018
43069;30/11/2017
42522;1/06/2016
43255;4/06/2018
42554;3/07/2016
43067;28/11/2017
42975;28/08/2017
43289;8/07/2018
41739;10/04/2014
43417;13/11/2018
42654;11/10/2016
43194;4/04/2018
41906;24/09/2014
43298;17/07/2018
42890;4/06/2017
43090;21/12/2017
43149;18/02/2018
43059;20/11/2017
43302;21/07/2018
43079;10/12/2017
43237;17/05/2018
43409;5/11/2018
42925;9/07/2017
42748;13/01/2017
42926;10/07/2017
43034;26/10/2017
42259;12/09/2015
43239;19/05/2018
43011;3/10/2017
43196;6/04/2018
43458;24/12/2018
43040;1/11/2017
42839;14/04/2017
42948;1/08/2017
43018;10/10/2017
41432;7/06/2013
43012;4/10/2017
43088;19/12/2017
43319;7/08/2018
42401;1/02/2016
42551;30/06/2016
43251;31/05/2018
43108;8/01/2018
41318;13/02/2013
42943;27/07/2017
43032;24/10/2017
43175;16/03/2018
42736;1/01/2017
42823;29/03/2017
43275;24/06/2018
42893;7/06/2017
43332;20/08/2018
43070;1/12/2017
43054;15/11/2017
43262;11/06/2018
42545;24/06/2016
43142;11/02/2018
42766;31/01/2017
42983;5/09/2017
43119;19/01/2018
42354;16/12/2015
42832;7/04/2017
42750;15/01/2017
42949;2/08/2017
42851;26/04/2017
43459;25/12/2018
42632;19/09/2016
42905;19/06/2017
42900;14/06/2017
42818;24/03/2017
42620;7/09/2016
43085;16/12/2017
43120;20/01/2018
43124;24/01/2018
43240;20/05/2018
43110;10/01/2018
43181;22/03/2018
43035;27/10/2017
42873;18/05/2017
42562;11/07/2016
42758;23/01/2017
41884;2/09/2014
41439;14/06/2013
41737;8/04/2014
42373;4/01/2016
43056;17/11/2017
42548;27/06/2016
42878;23/05/2017
42675;1/11/2016
42829;4/04/2017
43229;9/05/2018
42503;13/05/2016
42514;24/05/2016
42977;30/08/2017
43021;13/10/2017
42999;21/09/2017
43078;9/12/2017
43192;2/04/2018
43074;5/12/2017
42511;21/05/2016
43183;24/03/2018
43086;17/12/2017
42866;11/05/2017
43221;1/05/2018
42956;9/08/2017
43429;25/11/2018
42440;11/03/2016
43160;1/03/2018
43252;1/06/2018
41758;29/04/2014
43253;2/06/2018
43274;23/06/2018
42970;23/08/2017
42707;3/12/2016
43004;26/09/2017
42564;13/07/2016
42296;19/10/2015
42912;26/06/2017
42433;4/03/2016
43156;25/02/2018
43055;16/11/2017
41640;1/01/2014
42523;2/06/2016
42742;7/01/2017
43202;12/04/2018
42844;19/04/2017
42985;7/09/2017
42909;23/06/2017
43213;23/04/2018
42741;6/01/2017
42918;2/07/2017
43208;18/04/2018
43217;27/04/2018
42005;1/01/2015
42415;15/02/2016
42892;6/06/2017
42957;10/08/2017
43401;28/10/2018
43094;25/12/2017
42936;20/07/2017
43830;31/12/2019
41736;7/04/2014
42374;5/01/2016
43096;27/12/2017
42883;28/05/2017
42477;17/04/2016
43114;14/01/2018
42965;18/08/2017
42530;9/06/2016
43033;25/10/2017
43000;22/09/2017
43100;31/12/2017
43188;29/03/2018
42853;28/04/2017
43049;10/11/2017
42207;22/07/2015
42686;12/11/2016
42940;24/07/2017
42816;22/03/2017
42903;17/06/2017
42872;17/05/2017
42437;8/03/2016
43047;8/11/2017
41750;21/04/2014
43103;3/01/2018
42188;3/07/2015
43116;16/01/2018
43527;3/03/2019
43098;29/12/2017
42622;9/09/2016
42738;3/01/2017
41730;1/04/2014
42648;5/10/2016
43254;3/06/2018
43007;29/09/2017
42412;12/02/2016
42476;16/04/2016
43148;17/02/2018
42902;16/06/2017
42348;10/12/2015
42981;3/09/2017
42467;7/04/2016
41914;2/10/2014
43261;10/06/2018
43010;2/10/2017
42338;30/11/2015
43211;21/04/2018
41744;15/04/2014
42277;30/09/2015
42921;5/07/2017
42993;15/09/2017
42636;23/09/2016
42822;28/03/2017
42941;25/07/2017
42697;23/11/2016
42438;9/03/2016
42319;11/11/2015
41810;20/06/2014
43199;9/04/2018
42491;1/05/2016
41793;3/06/2014
43060;21/11/2017
41251;8/12/2012
42759;24/01/2017
42857;2/05/2017
42448;19/03/2016
43189;30/03/2018
42634;21/09/2016
42976;29/08/2017
42444;15/03/2016
41749;20/04/2014
